Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 20 Enplanements,CY 19 Enplanements,percent_change,
349,NE,MA,HYA,Hyannis,Cape Cod Gateway,CS,-,"9,779","24,465",-60.03%,
350,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,CS,-,"9,778","16,281",-39.94%,
351,AL,AK,HOM,Homer,Homer,CS,-,"9,677","46,367",-79.13%,
353,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,-,"9,666","5,404",78.87%,
355,SO,MS,MEI,Meridian,Key Field,CS,-,"9,447","19,765",-52.20%,
356,SO,KY,OWB,Owensboro,Owensboro-Daviess County Regional,CS,-,"9,284","18,615",-50.13%,
357,EA,NY,OGS,Ogdensburg,Ogdensburg International,CS,-,"9,259","26,921",-65.61%,
359,NM,WY,LAR,Laramie,Laramie Regional,CS,-,"9,227","18,995",-51.42%,
360,SW,NM,HOB,Hobbs,Lea County Regional,CS,-,"9,080","27,774",-67.31%,
361,SO,MS,PIB,Moselle,Hattiesburg-Laurel Regional,CS,-,"9,008","11,638",-22.60%,
362,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,CS,-,"8,933","17,707",-49.55%,
363,WP,AZ,PGA,Page,Page Municipal,CS,-,"8,915","41,579",-78.56%,
364,NM,UT,OGD,Ogden,Ogden-Hinckley,CS,-,"8,887","16,164",-45.02%,
365,EA,NY,BGM,Binghamton,Greater Binghamton/Edwin A Link Field,CS,-,"8,504","38,091",-77.67%,
366,GL,MN,HIB,Hibbing,Range Regional,CS,-,"8,432","18,293",-53.91%,
367,SO,GA,MCN,Macon,Middle Georgia Regional,CS,-,"8,341","17,109",-51.25%,
369,SW,TX,DRT,Del Rio,Del Rio International,CS,-,"8,296","22,439",-63.03%,
370,GL,MI,ESC,Escanaba,Delta County,CS,-,"8,204","19,063",-56.96%,
371,GL,SD,PIR,Pierre,Pierre Regional,CS,-,"8,017","14,602",-45.10%,
372,NM,UT,CNY,Moab,Canyonlands Regional,CS,-,"7,822","16,522",-52.66%,
373,CE,NE,LBF,North Platte,North Platte Regional/Lee Bird Field,CS,-,"7,668","16,120",-52.43%,
374,NM,WY,RIW,Riverton,Central Wyoming Regional,CS,-,"7,459","6,912",7.91%,
375,GL,SD,ATY,Watertown,Watertown Regional,CS,-,"7,225","11,681",-38.15%,
376,AL,AK,WRG,Wrangell,Wrangell,CS,-,"7,102","14,776",-51.94%,
377,CE,MO,BBG,Branson,Branson,CS,-,"7,068","25,583",-72.37%,
