Rank,FAA Region,ST,Locid,City,Airport Name,Service Level,Hub,CY 14 Enplanements,CY 13 Enplanements,percent_change
377,NE,RI,BID,Block Island,Block Island State,P,N,"12,967","10,865",19.35%
378,AL,AK,ANI,Aniak,Aniak,P,N,"12,955","14,334",-9.62%
379,GL,MI,APN,Alpena,Alpena County Regional,P,N,"12,809","15,914",-19.51%
380,EA,NY,FRG,North Babylon,Republic,P,N,"12,559","4,791",162.14%
381,GL,MI,IMT,Iron Mountain,Ford,P,N,"12,504","11,271",10.94%
382,AL,AK,KSM,St Mary's,St Mary's,P,N,"12,473","13,949",-10.58%
383,NE,RI,WST,Westerly,Westerly State,P,N,"12,354","10,136",21.88%
384,AL,AK,GAL,Galena,Edward G Pitka Sr,P,N,"12,349","14,141",-12.67%
385,NE,ME,PQI,Presque Isle,Northern Maine Regional Airport at Presque Isle,P,N,"12,330","11,488",7.33%
386,NM,MT,SDY,Sidney,Sidney-Richland Municipal,P,N,"11,878","10,378",14.45%
387,AL,AK,WRG,Wrangell,Wrangell,P,N,"11,828","11,807",0.18%
388,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,"11,798","10,688",10.39%
390,GL,MN,HIB,Hibbing,Range Regional,P,N,"11,617","11,669",-0.45%
392,GL,IL,MWA,Marion,Williamson County Regional,P,N,"11,096","11,241",-1.29%
393,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,"10,821","10,092",7.22%
394,EA,WV,MGW,Morgantown,Morgantown Municipal-Walter L Bill Hart Field,P,N,"10,676","10,036",6.38%
395,AL,AK,YAK,Yakutat,Yakutat,P,N,"10,619","10,135",4.78%
396,NE,NH,LEB,Lebanon,Lebanon Municipal,P,N,"10,599","10,614",-0.14%
397,NE,MA,PVC,Provincetown,Provincetown Municipal,P,N,"10,410","11,288",-7.78%
398,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,P,N,"10,241","10,679",-4.10%
400,AL,AK,HNH,Hoonah,Hoonah,CS,None,"9,849","10,468",-5.91%
401,GL,SD,PIR,Pierre,Pierre Regional,CS,None,"9,504","14,507",-34.49%
402,AL,AK,GST,Gustavus,Gustavus,CS,None,"9,484","10,076",-5.88%
403,AL,AK,ENM,Emmonak,Emmonak,CS,None,"9,447","8,268",14.26%
404,AL,AK,MBA,Manokotak,Manokotak,CS,None,"9,437","11,903",-20.72%
405,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,CS,None,"9,422","19,730",-52.25%
406,NM,UT,CNY,Moab,Canyonlands Field,CS,None,"9,259","7,048",31.37%
408,NE,ME,BHB,Bar Harbor,Hancock County-Bar Harbor,CS,None,"8,625","10,292",-16.20%
409,NM,WY,SHR,Sheridan,Sheridan County,CS,None,"8,613","14,126",-39.03%
410,EA,WV,LWB,Lewisburg,Greenbrier Valley,CS,None,"8,604","8,455",1.76%
411,CE,NE,EAR,Kearney,Kearney Regional,CS,None,"8,384","13,096",-35.98%
412,AL,AK,HNS,Haines,Haines,CS,None,"8,368","10,106",-17.20%
